"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP"
"2018","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","15","38","1","44",42.7,14,16
"2019","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","14","42","2","42",42,16,17
"2020","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","13","46","2","40",40.6,13.3,22
"2021","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","16","45","2","38",46.2,14.4,22
"2022","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","17.1","40.1","2.3","40.6",45.2,15.1,26.4
"2023","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","15.4","44","2.1","38.5",46.1,16.1,26.6
"2024","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111",".3","0","16","44.2","1.1","38.4",79.8,14.1,26.2
"2025","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111",".6","0","13.4","42.5","2","41.6",71.4,14,22.1
"2018","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","24","32","0","43",59.8,8,21
"2019","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","27","27","0","46",63.6,6,19
"2020","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","25","32","0","43",62.3,6.6,22
"2021","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","25","30","1","44",66.9,3.3,23
"2022","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","26.7","28.6",".6","44.1",59,4.3,19.3
"2023","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","29.9","24.7","2.3","43.1",60.3,8,18.4
"2024","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","28.3","24.3","4","43.4",87.8,11,19.1
"2025","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","25.3","32.3","3.8","38.6",80,7,26.6
"2018","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","0","0","14","44","3","40",50.2,10,32
"2019","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","0","0","14","45","2","39",51,11,34
"2020","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","0","0","13","45","2","40",49.3,11.1,32
"2021","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","0","0","12","46","2","40",50.3,13.8,29
"2022","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190",".3","0","11.2","46.4","1.6","40.4",38.5,16,28.1
"2023","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190",".5","0","10.1","48.8","1.8","38.8",48.9,15.2,27.7
"2024","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190",".3","0","8.6","48.6","1.9","40.5",78.1,15.1,26.6
"2025","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190",".7","0","10.2","47.6","1","40.6",73,12.8,26.9
"2018","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","0","0","20","14","4","60",42.8,15,7
"2019","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","0.0","0.0","20.0","14.0","4.0","60.0",42.8,15,7
"2020","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","0.0","0.0","22.0","14.0","4.0","59.0",41.7,16.1,7
"2021","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","0","0","22","14","4","59",46.5,16.2,7
"2022","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603",".2","0","22.5","15.1","4.4","57.7",37.4,18.1,7.7
"2023","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603",".3","0","22.9","16.3","4.5","55.9",46.3,18.4,8.5
"2024","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603",".3",".1","22.3","17.5","4.7","55.2",71,19.2,10.5
"2025","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603",".3",".1","22.8","17.8","5.2","53.9",66.4,18.5,10.6
"2018","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","0","0","23","15","6","55",50.9,14,10
"2019","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","0","0","22","15","6","57",51.9,14,8
"2020","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","0","0","25","15","5","54",51.8,15.9,9
"2021","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","0","0","27","15","4","54",57.7,13.4,9
"2022","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102",".2",".2","28.8","12.1","3.4","55.4",50,21.2,8.3
"2023","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102",".2",".2","27.8","14.9","3.8","53.1",55.6,19.7,9.8
"2024","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102",".2",".4","22.9","20.3","4.2","52.1",77,21.6,14.6
"2025","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102",".6",".4","24","21.6","6.1","47.3",72.4,20.2,15.8
"2018","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202","0","0","23","12","3","61",42.4,18,9
"2019","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202","0","0","21","15","4","59",44.1,18,9
"2020","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202","0","0","22","15","5","58",42,18.4,9
"2021","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202","0","0","20","15","5","60",46.1,16.5,9
"2022","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202",".2","0","20.4","15.9","4.7","58.8",34.8,18.3,11.3
"2023","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202",".4","0","22.7","14.5","4.8","57.5",44.7,18.3,9.1
"2024","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202",".2","0","20.4","14.7","6","58.7",65.7,18.5,10.7
"2025","SCHOOL","6030202","Okefenokee RESA","603","Bacon County","Bacon County Middle School","0202",".2","0","20.6","16.1","6.1","57",65.8,18.1,10.4
"2018","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302","1","0","18","12","3","67",31.5,13,2
"2019","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302","1","0","17","12","3","67",31.1,11,2
"2020","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302","1","0","19","11","2","67",31,12.8,2
"2021","SCHOOL","6030302","Okefenokee RESA","603","Bacon County","Bacon County High School","0302","0","0","20","14","2","64",36.2,14.8,2
